text,Label_binary,translated_text
"बांग्लादेश की शानदार वापसी, भारत को 314 रन पर रोका #INDvBAN #CWC19",0,"Great comeback by Bangladesh, restricted India to 314 runs #INDvBAN #CWC19"
सब रंडी नाच देखने मे व्यस्त जैसे ही कोई #शांतीदूत के साथ कुछ होगा सब #रंडीरोना शुरू कर देंगे   ,1,"All the whores are busy watching the dance. As soon as something happens with a #peacemaker, all the #whores will start crying."
तुम जैसे हरामियों के लिए बस जूतों की कमी है शुक्र कर अभी तुम्हारी लिंचिंग हुई नहीं है हिंदुओं के जागने की देर है सच में होगी अभी तो तुम जैसे हरामी सुवर ड्रामा बनाएं हो   सुवर कहीं का मौलाना।   तुम जैसे हरामियों कुत्ते की मौत मारना चाहिए सुवर जैसी शक्ल  रंडी की औलाद सुवर कहीं का ।।।।,1,"There is just shortage of shoes for bastards like you. Thank God you have not been lynched yet. It is too late for the Hindus to wake up. It will actually happen now. Bastards like you have created a pig drama, some Maulana of a pig.   Bastards like you, the dog should be killed, the pig-like face, the son of a whore, the pig from somewhere."
"बीजेपी MLA आकाश विजयवर्गीय जेल से रिहा, जमानत मिलने की खुशी में एक समर्थक ने इंदौर में हर्ष फायरिंग की  #AkashVijayvargiya   https://abpnews.abplive.in/india-news/celebratory-firing-outside-bjp-mla-akash-vijayvargiya-office-in-indore-1157241 …",0,"BJP MLA Akash Vijayvargiya released from jail, in celebration of getting bail, a supporter opened fire in Indore #AkashVijayvargiya https://abpnews.abplive.in/india-news/celebratory-firing-outside-bjp-mla-akash-vijayvargiya-office-in-indore-1157241…"
"चमकी बुखार: विधानसभा परिसर में आरजेडी का प्रदर्शन, तेजस्वी यादव नदारद     #biharencephalitisdeaths   https://abpnews.abplive.in/bihar-news/aes-deaths-rjd-protest-in-vidhan-sabha-campus-but-tejashwi-yadav-was-not-present-1158748 … (रिपोर्ट- @kumarprakash4u )",0,"Chamki fever: RJD's protest in the assembly campus, Tejashwi Yadav missing #biharencephalitisdeaths https://abpnews.abplive.in/bihar-news/aes-deaths-rjd-protest-in-vidhan-sabha-campus-but-tejashwi-yadav-was-not-present-1158748… (Report- @kumarprakash4u)"
मुंबई में बारिश से लोगों को काफी समस्या हो रही है,0,People are facing a lot of problems due to rain in Mumbai.
Ahmed's dad:-- beta aaj teri mammy kyu nahi baat kr rhi h.   Ahmed.... ,0,"Ahmed's dad:-- Son, why are you talking to your mother today?   Ahmed...."
"5 लाख मुसलमान उर्स में, अजमेर की दरगाह पर आते हैं, सिर्फ 300 पुलिस वालों के भरोसे,    2 लाख हिंदुओं की अमरनाथ यात्रा के लिए, 80 हजार कमांडो, पैरामिलिट्री फोर्स, तथा करोड़ों के उपकरण लगाए जा रहे हैं    #खतरे में #कौन है ?",0,"5 lakh Muslims come to the Dargah of Ajmer for Urs, relying only on 300 policemen, 80 thousand commandos, paramilitary forces, and equipment worth crores are being deployed for the Amarnath Yatra of 2 lakh Hindus. #Who is in danger?"
"Do mahashaktiyan mili hain, charo taraf khusi ki leher hai, khus hone wale khus hi rhe hain aur bhakton ko taklif ho rhi hai, khair honi bhi chahiye.",0,"These superpowers have been found, there are heads of laughter on all sides, those who are happy are here and they are offering to the devotees, well it should be so."
Chants of 'Jai Sri Ram' as Owaisi takes oath: AIMIM chief responds with 'Jai Bhim' @thenewsminute  @asadowaisi,0,Chants of 'Jai Sri Ram' as Owaisi takes oath: AIMIM chief responds with 'Jai Bhim' @thenewsminute @asadowaisi
नृत्य होगा..!  संगीत होगा..!  जीवन मे उत्सव होगा..!  'वह'आतुर है प्राणों में उतरने को..  'तुम'हृदय दुवार तो खोलो..!  जगह तो खाली करो..!  #हिंदी_शब्द,0,There will be dancing..!  There will be music..!  There will be celebration in life..!  'She' is eager to enter into your life.. 'You' at least open the door of your heart..!  Free up the space..!  #hindi_words
"गाये के नाम पर जुल्म करने वालों तुम्हारी औकात है उन देश के दस बड़े गाये का मांस निर्यात करने वाले हिंदुओं से हिसाब लेने की,,,",0,"Those who commit atrocities in the name of cow, you have the right to settle accounts with the Hindus who export the meat of the top ten cows of that country."
"डॉ. मुखर्जी ने एक देश में दो विधान दो प्रधान और दो निशान का विरोध करते हुए कश्मीर को भारत का अभिन्न अंग मानकर परमिट राज को खत्म करने की लड़ाई लड़ी, उनके बलिदान से ही परमिट राज खत्म हुआ- श्री @ManojTiwariMP",0,"Dr. Mukherjee fought to end the Permit Raj by considering Kashmir as an integral part of India, opposing two constitutions, two heads and two marks in one country. It was due to his sacrifice that the Permit Raj ended - Shri @ManojTiwariMP"
"धार्मिक पदों पर बैठे कुछ लोग अपने को भगवान समझ लेते हैं,कुछ लोग नत मस्तक हो उन्हें भगवान का दर्जा दिलाने के लिए अपना समय बर्बाद करते हैं,,,",0,"Some people holding religious positions consider themselves God, some people waste their time to give them the status of God."
सिक्का मोहब्बत का उछाल रक्खा है ~  हाँ मगर खुद को सम्भाल रक्खा है ||  अकेले तुम ही नही जो परेशान हो ~  उसने बहुतों को उलझन में डाल रक्खा है ||    ~ शाहरुख सिद्दीकी @Rekhta  #shahrukhsiddiqui @srspoet,0,The coin has kept the surge of love ~ yes but has kept itself under control.  You are not the only one who is troubled ~ he has left many people confused.    ~ Shahrukh Siddiqui @Rekhta #shahrukhsiddiqui @srspoet
कोन कहता है  आँखो में  प्यार नही होता।  जो डूब गया फिर उसमे से पार नही होता।    ये इश्क़ के  बाज़ार का दस्तूर है ज़माने में।  जो लूट गया वह कभी खरीदार नही होता।    नईम  #बज़्म #हिंदी_शब्द   @Aayatkhan_ @10398108Ritesh   @Shaheen31304594 @queen_hoon11   @mahir_nagpuri @Khushi_eik_Pal,0,Who says there is no love in the eyes?  One who has drowned cannot come out of it again.    This is the tradition of the market of love these days.  The one who is robbed is never a buyer.    Naeem
"वैसे शपथ के अंत में ' जय भारत,जय संविधान' बोलना भी सभी के लिए अनिवार्य किया जा सकता हैं।",0,"By the way, saying 'Jai Bharat, Jai Constitution' at the end of the oath can also be made mandatory for everyone."
